UniProtKB:A0A075B6P5,20-120
UniProtKB:Q13330,1-715,Lys-509,MOD:01149
UniProtKB:Q13332,30-1948
UniProtKB:Q13336,1-389
UniProtKB:Q13347,1-325
UniProtKB:Q13349,18-1161
UniProtKB:Q13352,1-177
UniProtKB:Q13356,1-520
UniProtKB:Q13361,22-173
UniProtKB:Q13362,1-524
UniProtKB:Q13362,1-524,Ser-337,MOD:00046
UniProtKB:Q13363,1-440
UniProtKB:Q13370,1-1112
UniProtKB:Q13370,1-1112,Ser-295,MOD:00046
UniProtKB:Q13371,2-301,Ser-18/Ser-19/Ser-20/Ser-25,MOD:00046
UniProtKB:Q13371,2-301
UniProtKB:Q13393,1-1074
UniProtKB:Q13398,1-564
UniProtKB:Q13402,1-2215
UniProtKB:Q13404,2-147
UniProtKB:Q13405,1-166
UniProtKB:Q13409,1-638
UniProtKB:Q13410,27-526
UniProtKB:Q13415,1-861
UniProtKB:Q13415,1-861,Ser-null,MOD:00046|Thr-null,MOD:00047
UniProtKB:Q13416,1-577
UniProtKB:Q13418,1-452
UniProtKB:Q13421,37-606,XXX-null,MOD:00696
UniProtKB:Q13421,37-606,XXX-606,MOD:00105
UniProtKB:Q13421,37-606
UniProtKB:Q13423,44-1086
UniProtKB:Q13426,1-336,Lys-210,MOD:01149
UniProtKB:Q13426,1-336
UniProtKB:Q13433,29-755
UniProtKB:Q13435,1-895
UniProtKB:Q13438,26-667
UniProtKB:Q13439,1-2230
UniProtKB:Q13442,1-181
UniProtKB:Q13443,29-819
UniProtKB:Q13444,207-863
UniProtKB:Q13449,29-315,Asn-315,MOD:00092
UniProtKB:Q13451,1-457
UniProtKB:Q13454,1-348
UniProtKB:Q13459,1-2157
UniProtKB:Q13464,1-1113
UniProtKB:Q13464,2-1354
UniProtKB:Q13464,1114-1354
UniProtKB:Q13467,27-585
UniProtKB:Q13467,27-585,Lys-null,MOD:01148
UniProtKB:Q13469,1-925,Ser-243,MOD:00046
UniProtKB:Q13469,1-925,Ser-171/Ser-172/Ser-174/Ser-175/Ser-177/Ser-213/Ser-217/Ser-221/Ser-243/Ser-268/Ser-274/Ser-276/Ser-280/Ser-326,MOD:00046
UniProtKB:Q13469,1-925
UniProtKB:Q13472,1-1001
UniProtKB:Q13477-1,19-406
UniProtKB:Q13478,19-541
UniProtKB:Q13480,1-694,Tyr-447/Tyr-472/Tyr-589/Tyr-627/Tyr-659,MOD:00048
UniProtKB:Q13480,1-694
UniProtKB:Q13480,1-694,Tyr-627/Tyr-659,MOD:00048
UniProtKB:Q13485,1-514
UniProtKB:Q13485,1-552
UniProtKB:Q13485,1-552,XXX-null,MOD:00752
UniProtKB:Q13487,1-334
UniProtKB:Q13488,1-830
UniProtKB:Q13489,1-604,Lys-null,MOD:01148
UniProtKB:Q13489,1-604
UniProtKB:Q13490,1-372
UniProtKB:Q13490,1-618,Lys-null,MOD:01148
UniProtKB:Q13490,1-618
UniProtKB:Q13490,373-618
UniProtKB:Q13492,2-652
UniProtKB:Q13495,1-774
UniProtKB:Q13496,1-603
UniProtKB:Q13501,1-440
UniProtKB:Q13503,1-144
UniProtKB:Q13505,1-466
UniProtKB:Q13507,1-848
UniProtKB:Q13508,27-362,XXX-362,MOD:00105
UniProtKB:Q13509,1-450
UniProtKB:Q13509,1-450,XXX-null,MOD:00207
UniProtKB:Q13509,1-450,XXX-null,MOD:00206
UniProtKB:Q13510,22-142
UniProtKB:Q13510,143-395
UniProtKB:Q13519,130-146
UniProtKB:Q13520,1-282
UniProtKB:Q13526,1-163
UniProtKB:Q13530,1-473
UniProtKB:Q13535,1-2644
UniProtKB:Q13541,2-118
UniProtKB:Q13541,2-118,Thr-37/Thr-46,MOD:00047
UniProtKB:Q13546,1-324
UniProtKB:Q13546,1-671,Ser-null,MOD:00046
UniProtKB:Q13546,1-671,Lys-377,MOD:01148
UniProtKB:Q13546,1-671
UniProtKB:Q13546,1-671,Lys-null,MOD:01148
UniProtKB:Q13546,325-671
UniProtKB:Q13547,1-482
UniProtKB:Q13547,1-482,Lys-444/Lys-476,MOD:01149
UniProtKB:Q13554,1-666,Thr-287,MOD:00047
UniProtKB:Q13555,1-558,Thr-287,MOD:00047
UniProtKB:Q13557,2-499,Thr-287,MOD:00047
UniProtKB:Q13561,2-401
UniProtKB:Q13562,1-356
UniProtKB:Q13563,1-968
UniProtKB:Q13564,2-534
UniProtKB:Q13568,1-498
UniProtKB:Q13569,1-410,Lys-330,MOD:01149
UniProtKB:Q13569,1-410
UniProtKB:Q13572,1-414
UniProtKB:Q13573,2-536
UniProtKB:Q13574,1-1117
UniProtKB:Q13576,2-1575
UniProtKB:Q13586,23-685
UniProtKB:Q13588,1-217
UniProtKB:Q13591,23-1074
UniProtKB:Q13591,23-1074,XXX-null,MOD:00812
UniProtKB:Q13601,2-381
UniProtKB:Q13606,1-314
UniProtKB:Q13607,1-317
UniProtKB:Q13613,1-665
UniProtKB:Q13614,1-643
UniProtKB:Q13615,1-1198
UniProtKB:Q13616,1-776,XXX-720,MOD:01150
UniProtKB:Q13616,1-776
UniProtKB:Q13617,1-745
UniProtKB:Q13617,1-745,XXX-689,MOD:01150
UniProtKB:Q13618,1-768
UniProtKB:Q13618,1-768,XXX-712,MOD:01150
UniProtKB:Q13619,1-759
UniProtKB:Q13619,1-759,XXX-705,MOD:01150
UniProtKB:Q13620,1-913,XXX-859,MOD:01150
UniProtKB:Q13620,1-913
UniProtKB:Q13621,1-1099
UniProtKB:Q13625,1-1128
UniProtKB:Q13627,1-763
UniProtKB:Q13630,1-321
UniProtKB:Q13634,54-790
UniProtKB:Q13635,1-1447,Lys-null,MOD:01148
UniProtKB:Q13635,1-1447
UniProtKB:Q13636,1-194
UniProtKB:Q13636,1-194,Cys-193/Cys-194,MOD:00113
UniProtKB:Q13637,2-225
UniProtKB:Q13637,2-225,Cys-224/Cys-225,MOD:00113
UniProtKB:Q13639,1-388
UniProtKB:Q13651,22-578,Tyr-496,MOD:00048
UniProtKB:Q13651,22-578,Tyr-446,MOD:00048
UniProtKB:Q13651,22-578
UniProtKB:Q13671,1-783
UniProtKB:Q13683,34-1181
UniProtKB:Q13698,1-1873
UniProtKB:Q13705,19-512
UniProtKB:Q13724,1-837
UniProtKB:Q13733,1-1029
UniProtKB:Q13740,28-583
UniProtKB:Q13748,1-449
UniProtKB:Q13748,1-450
UniProtKB:Q13748,1-450,Lys-40,MOD:00064
UniProtKB:Q13748,1-450,XXX-null,MOD:00206
UniProtKB:Q13748,1-450,XXX-null,MOD:00207
UniProtKB:Q13751,?-1172
UniProtKB:Q13751,18-?
UniProtKB:Q13751,18-1172
UniProtKB:Q13753,?-1193
UniProtKB:Q13753,22-?
UniProtKB:Q13753,22-1193
UniProtKB:Q13761,1-415,Lys-94/Lys-171,MOD:00064
UniProtKB:Q13761,1-415
UniProtKB:Q13761,1-415,Lys-null,MOD:01148
UniProtKB:Q13761,1-415,Lys-94/Lys-148,MOD:01148
UniProtKB:Q13761,1-415,Tyr-null,MOD:00048
UniProtKB:Q13769,2-683
UniProtKB:Q13790,165-326
UniProtKB:Q13794,1-54
UniProtKB:Q13795,1-201
UniProtKB:Q13795,1-201,XXX-1,MOD:00058
UniProtKB:Q13797,30-1035
UniProtKB:Q13813,1-1185
UniProtKB:Q13813,1-2472
UniProtKB:Q13813,1186-2472
UniProtKB:Q13822,36-863
UniProtKB:Q13825,68-339
UniProtKB:Q13835
UniProtKB:Q13835,1-747
UniProtKB:Q13838,2-428
UniProtKB:Q13867,1-455
UniProtKB:Q13868,1-293
UniProtKB:Q13873,27-1038
UniProtKB:Q13882,1-451
UniProtKB:Q13882,1-451,Tyr-342/Tyr-447,MOD:00048
UniProtKB:Q13882,1-451,Tyr-351,MOD:00048
UniProtKB:Q13882,1-451,Tyr-342,MOD:00048
UniProtKB:Q13885,1-445
UniProtKB:Q13885,1-445,XXX-null,MOD:00207
UniProtKB:Q13885,1-445,XXX-null,MOD:00206
UniProtKB:Q13887,1-457
UniProtKB:Q13888,1-395
UniProtKB:Q13889,1-308
UniProtKB:Q13895,1-437
UniProtKB:Q13901,1-141
UniProtKB:Q13905,1-1077
UniProtKB:Q13907,1-227
UniProtKB:Q13936,1-2221
UniProtKB:Q13946,1-482
UniProtKB:Q13948,1-678
UniProtKB:Q13950-1,1-521,Lys-null,MOD:01148
UniProtKB:Q13950-1,1-521,Ser-196,MOD:00046|Thr-198/Thr-200,MOD:00047
UniProtKB:Q13950-1,1-521
UniProtKB:Q13950-1,1-521,Ser-294/Ser-298/Ser-302,MOD:00046
UniProtKB:Q13950-1,1-521,Ser-465,MOD:00046
UniProtKB:Q13950-1,1-521,Ser-294/Ser-298/Ser-302,MOD:00046|Lys-null,MOD:01148
UniProtKB:Q13950-1,1-521,Ser-432,MOD:00046
UniProtKB:Q13950-1,1-521,Ser-294/Ser-312,MOD:00046
UniProtKB:Q13950-2,1-507,Ser-280/Ser-284/Ser-288,MOD:00046|Lys-null,MOD:01148
UniProtKB:Q13950-2,1-507
UniProtKB:Q13950-2,1-507,Lys-null,MOD:01148
UniProtKB:Q13950-2,1-507,Ser-418,MOD:00046
UniProtKB:Q13950-2,1-507,Ser-280/Ser-284/Ser-288,MOD:00046
UniProtKB:Q13950-2,1-507,Ser-451,MOD:00046
UniProtKB:Q13950-2,1-507,Ser-280/Ser-298,MOD:00046
UniProtKB:Q13950-2,1-507,Ser-183,MOD:00046|Thr-185/Thr-187,MOD:00047
UniProtKB:Q13951,1-182
UniProtKB:Q13952,1-458
UniProtKB:Q13972,1-1275
UniProtKB:Q13976,2-671
UniProtKB:Q13976-1,2-671
UniProtKB:Q14002,36-242,XXX-242,MOD:00105
UniProtKB:Q14003,1-757
UniProtKB:Q14004,1-1512
UniProtKB:Q14005,1-1211
UniProtKB:Q14005,1-1332
UniProtKB:Q14005,1212-1332
UniProtKB:Q14008,1-2032
UniProtKB:Q14019,2-142
UniProtKB:Q14028,1-1215
UniProtKB:Q14028,1-1251
UniProtKB:Q14031,?-1691,Lys-null,MOD:01914
UniProtKB:Q14031,?-1691,Pro-null,MOD:00039
UniProtKB:Q14031,?-1691,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14031,?-1691,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q14031,?-1691,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14031,?-1691,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14031,?-1691,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14031,?-1691,Lys-null,MOD:00162
UniProtKB:Q14031,?-1691,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14031,?-1691
UniProtKB:Q14031,?-1691,Lys-null,MOD:00037
UniProtKB:Q14031,?-1691,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14031,23-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14031,23-?,Lys-null,MOD:00162
UniProtKB:Q14031,23-?,Lys-null,MOD:01914
UniProtKB:Q14031,23-?,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14031,23-?,Lys-null,MOD:00037
UniProtKB:Q14031,23-?
UniProtKB:Q14031,23-?,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q14031,23-?,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14031,23-?,Pro-null,MOD:00039
UniProtKB:Q14031,23-?,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14031,23-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14031,23-?,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14031,23-1691,Pro-null,MOD:00039
UniProtKB:Q14031,23-1691,Lys-null,MOD:00037
UniProtKB:Q14031,23-1691,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q14031,23-1691,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14031,23-1691,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14031,23-1691,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14031,23-1691,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14031,23-1691
UniProtKB:Q14031,23-1691,Lys-null,MOD:01914
UniProtKB:Q14031,23-1691,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14031,23-1691,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14031,23-1691,Lys-null,MOD:00162
UniProtKB:Q14032,1-418
UniProtKB:Q14050,?-684,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14050,?-684,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q14050,?-684,Lys-null,MOD:01914
UniProtKB:Q14050,?-684
UniProtKB:Q14050,?-684,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14050,?-684,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14050,?-684,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14050,?-684,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14050,?-684,Lys-null,MOD:00162
UniProtKB:Q14050,?-684,Pro-null,MOD:00039
UniProtKB:Q14050,?-684,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14050,26-?,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q14050,26-?,Lys-null,MOD:01914
UniProtKB:Q14050,26-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14050,26-?,Lys-null,MOD:00162
UniProtKB:Q14050,26-?,Pro-null,MOD:00039
UniProtKB:Q14050,26-?,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14050,26-?,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14050,26-?,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14050,26-?
UniProtKB:Q14050,26-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14050,26-?,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14050,26-684,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14050,26-684,Lys-null,MOD:01914
UniProtKB:Q14050,26-684,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14050,26-684,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14050,26-684,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14050,26-684
UniProtKB:Q14050,26-684,Lys-null,MOD:00037
UniProtKB:Q14050,26-684,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q14050,26-684,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14050,26-684,Pro-null,MOD:00039
UniProtKB:Q14050,26-684,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14050,26-684,Lys-null,MOD:00162
UniProtKB:Q14055,?-689,Lys-null,MOD:00037
UniProtKB:Q14055,?-689,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14055,?-689,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14055,?-689,Lys-null,MOD:01914
UniProtKB:Q14055,?-689,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q14055,?-689,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14055,?-689,Pro-null,MOD:00039
UniProtKB:Q14055,?-689
UniProtKB:Q14055,?-689,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14055,?-689,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14055,?-689,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14055,?-689,Lys-null,MOD:00162
UniProtKB:Q14055,24-?,Lys-null,MOD:00162
UniProtKB:Q14055,24-?,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q14055,24-?
UniProtKB:Q14055,24-?,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14055,24-?,Lys-null,MOD:00037
UniProtKB:Q14055,24-?,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14055,24-?,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14055,24-?,Lys-null,MOD:01914
UniProtKB:Q14055,24-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14055,24-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14055,24-?,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14055,24-?,Pro-null,MOD:00039
UniProtKB:Q14055,24-689
UniProtKB:Q14055,24-689,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q14055,24-689,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14055,24-689,Lys-null,MOD:00162
UniProtKB:Q14055,24-689,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14055,24-689,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14055,24-689,Pro-null,MOD:00039
UniProtKB:Q14055,24-689,Lys-null,MOD:00037
UniProtKB:Q14055,24-689,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14055,24-689,Lys-null,MOD:01914
UniProtKB:Q14055,24-689,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14055,24-689,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14061,1-63,Cys-26/Cys-36/Cys-45/Cys-55,MOD:00798
UniProtKB:Q14061,1-63
UniProtKB:Q14088,1-237
UniProtKB:Q14088,1-237,Cys-235/Cys-237,MOD:00113
UniProtKB:Q14103,1-355
UniProtKB:Q14103-3,1-355,Ser-83/Ser-87,MOD:00046
UniProtKB:Q14103-3,1-355,Ser-83/Ser-87,MOD:00046|Lys-null,MOD:01148
UniProtKB:Q14103-4,1-355
UniProtKB:Q14103-4,1-355,Lys-null,MOD:01148
UniProtKB:Q14108,2-478
UniProtKB:Q14112,31-1375
UniProtKB:Q14114,33-963
UniProtKB:Q14114,33-963,Tyr-null,MOD:00048
UniProtKB:Q14116,1-36
UniProtKB:Q14116,1-193
UniProtKB:Q14116,37-193
UniProtKB:Q14116-2,189-37
UniProtKB:Q14117,1-519
UniProtKB:Q14118,30-653,XXX-null,MOD:00810
UniProtKB:Q14118,30-653
UniProtKB:Q14118,654-895
UniProtKB:Q14123,1-709
UniProtKB:Q14126,?-1118
UniProtKB:Q14126,50-1118
UniProtKB:Q14134,1-588
UniProtKB:Q14137,1-746
UniProtKB:Q14139,1-1066
UniProtKB:Q14142,1-442
UniProtKB:Q14145,1-624,Lys-null,MOD:01148
UniProtKB:Q14145,1-624
UniProtKB:Q14152,2-1382
UniProtKB:Q14155,1-803
UniProtKB:Q14159,1-915
UniProtKB:Q14160,1-1630
UniProtKB:Q14162,20-830
UniProtKB:Q14164,1-716
UniProtKB:Q14164,1-716,Ser-172,MOD:00046
UniProtKB:Q14165,29-292
UniProtKB:Q14166,1-644
UniProtKB:Q14181,1-598
UniProtKB:Q14185,1-1865
UniProtKB:Q14186,2-410
UniProtKB:Q14188,1-446
UniProtKB:Q14191,1-1432,Lys-356/Lys-496/Lys-898,MOD:01149
UniProtKB:Q14191,1-1432
UniProtKB:Q14192,1-279
UniProtKB:Q14194,1-572,Ser-518/Ser-522,MOD:00046|Thr-509/Thr-514,MOD:00047
UniProtKB:Q14194,1-572,Tyr-null,MOD:00048
UniProtKB:Q14194,1-572,Ser-522,MOD:00046
UniProtKB:Q14194,1-572
UniProtKB:Q14195,1-570,Ser-522,MOD:00046
UniProtKB:Q14195,1-570
UniProtKB:Q14195,1-570,Tyr-null,MOD:00048
UniProtKB:Q14195,1-570,Ser-518/Ser-522,MOD:00046|Thr-509/Thr-514,MOD:00047
UniProtKB:Q14197,30-206
UniProtKB:Q14203,1-1278
UniProtKB:Q14203-2,1-1278
UniProtKB:Q14204,1-4646
UniProtKB:Q14209,1-437
UniProtKB:Q14210,21-98,Asn-98,MOD:00092
UniProtKB:Q14213,21-229
UniProtKB:Q14232,1-305
UniProtKB:Q14240,1-407
UniProtKB:Q14241,1-798
UniProtKB:Q14242,42-412
UniProtKB:Q14246,21-886
UniProtKB:Q14247,1-550,Ser-113,MOD:00046
UniProtKB:Q14247,1-550
UniProtKB:Q14254,2-428
UniProtKB:Q14258,1-630
UniProtKB:Q14289,1-1009,Tyr-null,MOD:00048
UniProtKB:Q14289,1-1009,Tyr-402,MOD:00048
UniProtKB:Q14289,1-1009,XXX-null,MOD:00696
UniProtKB:Q14289,1-1009
UniProtKB:Q14314,24-439
UniProtKB:Q14315,1-2725
UniProtKB:Q14318,1-412,Lys-null,MOD:01148
UniProtKB:Q14318,1-412
UniProtKB:Q14324,1-1141
UniProtKB:Q14330,1-331
UniProtKB:Q14332,24-565
UniProtKB:Q14344,1-377
UniProtKB:Q14353,1-236
UniProtKB:Q14376,1-348
UniProtKB:Q14393,31-38
UniProtKB:Q14393,31-691,Glu-54/Glu-55/Glu-62/Glu-64/Glu-67/Glu-68/Glu-73/Glu-74/Glu-77/Glu-80/Glu-84,MOD:00041
UniProtKB:Q14393,31-691
UniProtKB:Q14393,31-721,XXX-null,MOD:00696
UniProtKB:Q14393,31-721
UniProtKB:Q14393,39-691
UniProtKB:Q14393,39-691,Glu-54/Glu-55/Glu-62/Glu-64/Glu-67/Glu-68/Glu-73/Glu-74/Glu-77/Glu-80/Glu-84,MOD:00041
UniProtKB:Q14397,2-625
UniProtKB:Q14409,1-553
UniProtKB:Q14410,1-553
UniProtKB:Q14416,19-872
UniProtKB:Q14432,1-1141
UniProtKB:Q14435,1-633
UniProtKB:Q14439,1-515
UniProtKB:Q14442,1-188
UniProtKB:Q14449,1-540
UniProtKB:Q14451,1-532
UniProtKB:Q14457,1-450
UniProtKB:Q14457,1-450,Ser-15,MOD:00046
UniProtKB:Q14457,1-450,Lys-null,MOD:01148
UniProtKB:Q14469,1-280
UniProtKB:Q14493,1-270
UniProtKB:Q14500,1-433
UniProtKB:Q14512,24-234
UniProtKB:Q14515,17-664,XXX-null,MOD:00696
UniProtKB:Q14515,17-664
UniProtKB:Q14524,1-2016
UniProtKB:Q14525,1-404
UniProtKB:Q14526,1-733
UniProtKB:Q14526,1-733,Lys-333,MOD:01149
UniProtKB:Q14527,1-1009
UniProtKB:Q14532,1-448
UniProtKB:Q14533,1-505
UniProtKB:Q14534,1-574
UniProtKB:Q14541,1-408
UniProtKB:Q14542,1-456
UniProtKB:Q14554,22-519
UniProtKB:Q14563,21-771
UniProtKB:Q14565,1-340
UniProtKB:Q14566,1-821
UniProtKB:Q14571,1-2701
UniProtKB:Q14573,1-2671
UniProtKB:Q14574,136-896
UniProtKB:Q14584,1-549
UniProtKB:Q14586,1-743
UniProtKB:Q14587,1-947
UniProtKB:Q14588,1-700
UniProtKB:Q14590,1-738
UniProtKB:Q14592,1-562
UniProtKB:Q14593,1-569
UniProtKB:Q14623,28-202,XXX-28,MOD:00069|XXX-202,MOD:00314
UniProtKB:Q14623,28-202
UniProtKB:Q14623,28-202,XXX-202,MOD:00314
UniProtKB:Q14623,28-411,XXX-282,MOD:00160|Cys-203,MOD:00798
UniProtKB:Q14623,28-411,Cys-203,MOD:00798
UniProtKB:Q14623,203-411,XXX-282,MOD:00160
UniProtKB:Q14623,203-411,XXX-282,MOD:00160|Lys-null,MOD:01148
UniProtKB:Q14624,29-661
UniProtKB:Q14626,23-422
UniProtKB:Q14627,27-380
UniProtKB:Q14642,1-409
UniProtKB:Q14643,1-2758
UniProtKB:Q14644,1-834
UniProtKB:Q14653,1-427,Ser-396/Ser-398/Ser-402/Ser-405,MOD:00046|Thr-404,MOD:00047
UniProtKB:Q14653,1-427,Ser-339/Ser-396/Ser-398/Ser-402/Ser-405,MOD:00046|Thr-404,MOD:00047
UniProtKB:Q14653,1-427
UniProtKB:Q14654,1-390
UniProtKB:Q14657,1-143
UniProtKB:Q14669,2-1992
UniProtKB:Q14671,1-1186
UniProtKB:Q14674,1-1506
UniProtKB:Q14674,1-2120
UniProtKB:Q14674,1507-1535
UniProtKB:Q14674,1536-2120
UniProtKB:Q14676,1-2089,Thr-4/Thr-699/Thr-719/Thr-752/Thr-765,MOD:00047
UniProtKB:Q14676,1-2089,Lys-1840,MOD:01149
UniProtKB:Q14676,1-2089
UniProtKB:Q14676,1-2089,Thr-4/Thr-699/Thr-719/Thr-752/Thr-765,MOD:00047|Lys-null,MOD:01148|Lys-1840,MOD:01149
UniProtKB:Q14676,1-2089,Thr-4/Thr-699/Thr-719/Thr-752/Thr-765,MOD:00047|Lys-1840,MOD:01149
UniProtKB:Q14677,1-625
UniProtKB:Q14679,1-1199
UniProtKB:Q14683,1-1233
UniProtKB:Q14686,1-2063
UniProtKB:Q14690,2-1871
UniProtKB:Q14691,1-196
UniProtKB:Q14692,1-1282
UniProtKB:Q14693,1-890
UniProtKB:Q14693,1-890,Ser-106,MOD:00046
UniProtKB:Q14694,2-798
UniProtKB:Q14694,2-798,Lys-null,MOD:01148
UniProtKB:Q14697,29-944
UniProtKB:Q14703,187-1052
UniProtKB:Q14703,187-1052,XXX-null,MOD:00696
UniProtKB:Q14721,1-858
UniProtKB:Q14722,1-419
UniProtKB:Q14738,1-602
UniProtKB:Q14739,1-615
UniProtKB:Q14746,1-738
UniProtKB:Q14749,2-295
UniProtKB:Q14764,2-893
UniProtKB:Q14765,1-?,XXX-null,MOD:00696
UniProtKB:Q14765,1-?
UniProtKB:Q14765,1-748,Tyr-693,MOD:00048
UniProtKB:Q14766,24-1721
UniProtKB:Q14766,24-1721,XXX-null,MOD:00696
UniProtKB:Q14767,36-1821
UniProtKB:Q14773,23-271
UniProtKB:Q14781,1-532
UniProtKB:Q14789,1-3259
UniProtKB:Q14790,1-216
UniProtKB:Q14790,1-374
UniProtKB:Q14790,1-479
UniProtKB:Q14790,217-374
UniProtKB:Q14790,375-384
UniProtKB:Q14790,385-479
UniProtKB:Q147X3,1-362
UniProtKB:Q14802,21-87
UniProtKB:Q14807,1-665
UniProtKB:Q14814,1-521
UniProtKB:Q14831,35-915
UniProtKB:Q14832,23-879
UniProtKB:Q14833,33-912
UniProtKB:Q14839,1-1912
UniProtKB:Q14849,1-445
UniProtKB:Q14865,1-1188
UniProtKB:Q14872,2-753
UniProtKB:Q14894,1-314
UniProtKB:Q14896,1-1274
UniProtKB:Q14914,1-329
UniProtKB:Q14916,1-467
UniProtKB:Q14919,2-205
UniProtKB:Q14929,1-603
UniProtKB:Q14938,1-502
UniProtKB:Q14940,1-896
UniProtKB:Q14943,22-387
UniProtKB:Q14953,22-304
UniProtKB:Q14954,22-304
UniProtKB:Q14956,22-572,Tyr-525,MOD:00048
UniProtKB:Q14956,22-572
UniProtKB:Q14957,20-1233
UniProtKB:Q14964,1-217
UniProtKB:Q14964,1-217,Cys-215/Cys-217,MOD:00113
UniProtKB:Q14966,1-1978
